number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_early_stopped_epoch,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
0,0.559546420239222,COMPLETE,3.0566442012786865,0.31777286529541016,1.4747635466128636e-05,0.000991317892040907,0.47919154167175293,2.2106321211477505e-06,0.559546420239222,7.0,"[0.8333333333333334, 0.8888888888888888, 0.6842105263157895, 0.8947368421052632, 0.6842105263157895]","[0.2381406883057985, 0.4253099472181121, 0.7636167572976243, 0.7106736140666551, 0.6599910943079198]",18.0,"[0.1682617830617039, 0.3892412281520655, 0.4875829317329051, 0.4981216856934847, 0.2953420667087186]",
1,0.2805594233788621,COMPLETE,2.957947015762329,0.4263014495372772,0.0006925640952183805,8.699533120661045e-05,0.2798042893409729,0.00015690731607858975,0.2805594233788621,6.0,"[0.8888888888888888, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.15916315182827626, 0.16880046981145824, 0.3144409854075045, 0.4739617144054807, 0.2864307954415907]",18.0,"[0.10259821164195612, 0.15128343394450086, 0.18708373588838426, 0.36530659104602436, 0.22693944484076592]",
2,0.29995179364464386,COMPLETE,2.44448184967041,0.23127681016921997,0.0062093983914917154,4.479045620338639e-05,0.3792548179626465,1.315339620157207e-05,0.29995179364464386,6.0,"[0.8333333333333334, 0.9444444444444444, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.3954907057438201, 0.17671346542182517, 0.24721711234528093, 0.4057942153855325, 0.27454346932676055]",20.0,"[0.2896642382637664, 0.13940167352897484, 0.2431839121298397, 0.32713108431658167, 0.18718085862775824]",
3,0.37729223320562105,COMPLETE,3.540858268737793,0.5243086814880371,0.0002936011385066793,0.00033267178422022325,0.1797151416540146,0.0009303573066165558,0.37729223320562105,11.0,"[0.8888888888888888, 0.8333333333333334, 0.9473684210526315, 0.8947368421052632, 0.8421052631578947]","[0.2320308139541238, 0.47947549855439003, 0.1912111144296115, 0.7053016332239933, 0.2784421058659867]",19.0,"[0.03210036143667594, 0.3202555547696748, 0.1912111144296115, 0.40766493568011547, 0.1780602107158924]",
4,0.37199297470792225,COMPLETE,3.8488073348999023,0.4583216607570648,4.781119357995064e-05,0.00024863483576594654,0.31048768758773804,4.440884758794751e-05,0.37199297470792225,7.0,"[0.9444444444444444, 0.8888888888888888, 0.8421052631578947, 0.7894736842105263, 0.8947368421052632]","[0.23639556436216302, 0.3233627348587207, 0.4160878243853245, 0.6688253559723543, 0.21529339396104885]",19.0,"[0.1468220534218416, 0.2982758253088428, 0.2403635515923892, 0.26459220583906007, 0.1462686754260252]",
5,0.22151336168622254,COMPLETE,2.1365861892700195,0.19820380210876465,0.0009976356838291762,5.22465277102519e-05,0.5110095739364624,0.00046962272683261693,0.22151336168622254,9.0,"[0.8333333333333334, 0.8888888888888888, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.19357437339340322, 0.2148304741151953, 0.194317235837963, 0.29304722553613255, 0.21179749954841864]",18.0,"[0.18264143755954543, 0.12757580646327404, 0.19170573053513876, 0.29304722553613255, 0.19415221307861574]",
6,0.32654168128888,COMPLETE,2.64847993850708,0.39067938923835754,0.0035679124132316662,0.00015625952525555247,0.21036328375339508,4.646292910701226e-06,0.32654168128888,4.0,"[0.8888888888888888, 0.9444444444444444, 0.8947368421052632, 0.7894736842105263, 0.8421052631578947]","[0.2904577918921455, 0.2417298052198728, 0.32181495596378945, 0.5259251527083841, 0.2527807006602081]",19.0,"[0.23244144396549082, 0.2417298052198728, 0.2907705307301614, 0.34511082394872, 0.15511198000149307]",
7,0.7089763450893418,PRUNED,3.3661954402923584,0.25235727429389954,7.495976926794284e-05,0.00048135660146828333,0.4111112356185913,4.9328883780777496e-05,,,,,,,7.0
8,0.2466258617009653,COMPLETE,2.859779119491577,0.15918207168579102,0.00017386385516597177,0.0005316903882900594,0.2449529618024826,1.0205524491388703e-05,0.2466258617009653,11.0,"[0.9444444444444444, 0.8333333333333334, 0.9473684210526315, 0.8947368421052632, 0.9473684210526315]","[0.13666516642342685, 0.49281608743379124, 0.06424988606958873, 0.487269436757874, 0.052128731820145824]",19.0,"[0.12455521435669918, 0.2937993282814407, 0.06424988606958873, 0.2548450477341631, 0.04467417186841478]",
9,0.4074881621639633,PRUNED,3.154881000518799,0.49752652645111084,0.008675912420029902,0.00011645703318973486,0.4460482597351074,0.0019302231014754578,,,,,,,7.0
